,drug,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
99,"DRG5,DRG7",0.0,0.0,3.5,3.5,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
100,"DRG5,DRG8",0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.5,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
101,"DRG5,DRG9",0.0,0.0,3.5,3.5,0.0,8.5,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
102,"DRG5,DRG10",0.0,0.0,3.5,3.5,0.0,4.5,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
103,"DRG5,DRG11",0.0,0.0,0.0,0.0,0.0,8.0,3.5,0.0,0.0,3.5,3.5,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
104,"DRG5,DRG12",0.0,0.0,3.5,3.5,0.0,8.5,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
105,"DRG5,DRG13",0.0,0.0,3.5,3.5,0.0,4.5,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
106,"DRG5,DRG14",0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.5,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
107,"DRG5,DRG15",0.0,0.0,3.5,3.5,0.0,8.5,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
108,"DRG5,DRG16",0.0,0.0,3.5,3.5,0.0,4.5,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
